Gene	Description	Symbol	EC
MYCTH_2111553	Podospora anserina S mat genomic DNA chromosome		
MYCTH_2111556	Ion channel regulatory protein UNC-93		
MYCTH_2111617			
MYCTH_2111641			
MYCTH_2111646	Encoded by		
MYCTH_2111679			
MYCTH_2111801			
MYCTH_2111803	cytochrome P450		
MYCTH_2111820	Protein of unknown function (DUF2945)		
MYCTH_2111826			
MYCTH_2111918			
MYCTH_2112012			
MYCTH_2112063			
MYCTH_2112071	Vps51/Vps67		
MYCTH_2112081			
MYCTH_2112126			
MYCTH_2112160	Belongs to the multicopper oxidase family	YDR506C	
MYCTH_2112164			
MYCTH_2112181	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen(URA7)	URA7	6.3.4.2
MYCTH_2112226	Siderophore biosynthesis protein domain		
MYCTH_2112358			
MYCTH_2112409	binding of sperm to zona pellucida		
MYCTH_2112425	flavin adenine dinucleotide binding		1.1.99.1
MYCTH_2112431	Domain of unknown function (DUF3328)		
MYCTH_2112434	short chain dehydrogenase	YOR246C	1.1.1.300
MYCTH_2112463			
MYCTH_2112475	Peptidase A4 family		
MYCTH_2112484			
MYCTH_2112496	Cytochrome P450		
MYCTH_2112504			
MYCTH_2112541	DUF1338		
MYCTH_2112630			
MYCTH_2112674	FR47-like protein		
MYCTH_2112679			
MYCTH_2112701	SUR7/PalI family		
MYCTH_2112712	Apses transcription factor xbp1	XBP1	
MYCTH_2112717			
MYCTH_2112769			
MYCTH_2112775			
MYCTH_2112795	Podospora anserina S mat genomic DNA chromosome		
MYCTH_2112799	Glycosyl hydrolase family 61		
MYCTH_2112801	Belongs to the carnitine choline acetyltransferase family	CAT2	2.3.1.7
MYCTH_2112885			
MYCTH_2112920			
MYCTH_2112936	Methyltransferase domain		
MYCTH_2112941			
MYCTH_2112958	Protein of unknown function (DUF1349)		
MYCTH_2112984			
MYCTH_2112989	Methyltransferase domain-containing protein		
MYCTH_2112991	Belongs to the AAA ATPase family	BCS1	
MYCTH_2113028			
MYCTH_2113078	integral membrane protein		
MYCTH_2113081			
MYCTH_2113082	Protein tyrosine kinase	KIN1	
MYCTH_2113155			
MYCTH_2113181	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.205) subfamily(SNQ2)	SNQ2	
MYCTH_2113191			
MYCTH_2113210	A Receptor for Ubiquitination Targets		
MYCTH_2113259			
MYCTH_2113329			
MYCTH_2113341			
MYCTH_2113353			
MYCTH_2113362			
MYCTH_2113368			
MYCTH_2113390	GCN5-like protein 1 (GCN5L1)		
MYCTH_2113417			
MYCTH_2113426			
MYCTH_2113446	Belongs to the mitochondrial carrier (TC 2.A.29) family(PET8)	PET8	
MYCTH_2113448			
MYCTH_2113540	Ankyrin repeats (many copies)	YPR089W	
MYCTH_2113541	Allantoicase repeat(DAL2)	DAL2	3.5.3.4,4.3.2.3
MYCTH_2113569	GPI-GlcNAc transferase complex, PIG-H component		
MYCTH_2113722			
MYCTH_2113755			
MYCTH_2113862			
MYCTH_2113877	ankyrin repeats		
MYCTH_2113928			
MYCTH_2113962	Ring finger domain		
MYCTH_2113974			
MYCTH_2113977			
MYCTH_2113983			
MYCTH_2113991			
MYCTH_2114022			
MYCTH_2114023	Heterokaryon incompatibility protein (HET)		
MYCTH_2114025			
MYCTH_2114100	Enoyl-(Acyl carrier protein) reductase	YMR226C	
MYCTH_2114188			
MYCTH_2114377			
MYCTH_2114395	Belongs to the 14-3-3 family	BMH1	
MYCTH_2114422	Transmembrane proteins 14C	YJR085C	
MYCTH_2114467			
MYCTH_2114542			
MYCTH_2114599			
MYCTH_2114610	Acetyltransferase (GNAT) family		
MYCTH_2114617	cytochrome P450		
MYCTH_2114650	ATPase domain of DNA mismatch repair MUTS family(MSH4)	MSH4	
MYCTH_2114682			
MYCTH_2114693	Mitochondrial import protein Pam17(PAM17)	PAM17	
MYCTH_2114710	Protein of unknown function (DUF1640)(FMP32)	FMP32	
MYCTH_2114843	helicase superfamily c-terminal domain	BRR2	2.7.7.7
MYCTH_2114926	Maf-like protein(MST1)	MST1	6.1.1.3
MYCTH_2114944	DnaJ domain-containing protein		
MYCTH_2115071	Alcohol acetyltransferase(ATF1)		
MYCTH_2115074	snRNP Sm proteins(LSM6)	LSM6	
MYCTH_2115094	high mobility group		
MYCTH_2115123	Catalyzes the cleavage of glutathione into 5-oxo-L- proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides	YER163C	
MYCTH_2115286	Dpy-30 motif(SDC1)		
MYCTH_2115324	Phosphotransferase enzyme family		
MYCTH_2115336	Major Facilitator Superfamily	QDR1	
MYCTH_2115339	AAA domain	NAM7	3.6.4.13
MYCTH_2115340	WD40 repeats(SPT8)	SPT8	
MYCTH_2115401	Putative RNA methyltransferase	YMR310C	
MYCTH_2115405	Membrane transport protein	YBR287W	
MYCTH_2115420			
MYCTH_2115472			
MYCTH_2115531	KH domain(RRP40)	RRP40	
MYCTH_2115670	Amidase	HER2	
MYCTH_2115734			
MYCTH_2115740	high mobility group	ROX1	
MYCTH_2115815	WD40 repeats		
MYCTH_2115818			
MYCTH_2115844			
MYCTH_2115868	Rpp14/Pop5 family(POP5)	POP5	3.1.26.5
MYCTH_2115983	Cation efflux family	ZRC1	
MYCTH_2116000	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
MYCTH_2116084			
MYCTH_2116126	Methyltransferase domain		
MYCTH_2116212			
MYCTH_2116256	Haemolysin-III related	IZH2	
MYCTH_2116312	Belongs to the small GTPase superfamily. Rho family(RHO2)	RHO2	
MYCTH_2116318	glucose import	AZR1	
MYCTH_2116377	Calcineurin-like phosphoesterase superfamily domain		
MYCTH_2116379			
MYCTH_2116402	Sec63 Brl domain(HFM1)	HFM1	3.6.4.12
MYCTH_2116408			
MYCTH_2116433			
MYCTH_2116436	A Receptor for Ubiquitination Targets		
MYCTH_2116457	Cytochrome P450		
MYCTH_2116458	Sugar (and other) transporter	MPH3	
MYCTH_2116523	Involved in cytoplasm to vacuole transport (Cvt) and autophagic vesicle formation		
MYCTH_2116566	FAD dependent oxidoreductase		
MYCTH_2116588	DNA replication factor Cdt1 C-terminal domain		
MYCTH_2116644	Zinc knuckle		
MYCTH_2116681	Zinc-binding domain present in Lin-11, Isl-1, Mec-3.	PXL1	
MYCTH_2116689	Transcription factor TFIIH complex subunit Tfb5	TFB5	
MYCTH_2116710	G-protein coupled receptor activity		
MYCTH_2116734	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	ECM22	
MYCTH_2116851	ketohexokinase activity		2.7.1.3
MYCTH_2116909			
MYCTH_2116929	Mitochondrial PGP phosphatase	GEP4	3.1.3.27
MYCTH_2116960	ACT domain		
MYCTH_2116990			
MYCTH_2117048	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	DUR3	
MYCTH_2117072	Cytidine and deoxycytidylate deaminase zinc-binding region	RIB2	3.6.1.43,5.4.99.28
MYCTH_2117078	Ubiquitin interaction domain-containing protein		
MYCTH_2117187	Major Facilitator Superfamily	VBA2	
MYCTH_2117190	Gtr1/RagA G protein conserved region(GTR1)	GTR1	
MYCTH_2117192	Outer membrane protein TOM13	OXA1	
MYCTH_2117239	regulation of centriole replication	CDC5	2.7.11.1,2.7.11.21
MYCTH_2117287	Belongs to the complex I LYR family		
MYCTH_2117465	Monothiol(GRX5)	GRX5	
MYCTH_2117572			
MYCTH_2117668			
MYCTH_2117720	Protein tyrosine kinase	GIN4	
MYCTH_2117721	Transcription initiation factor IID, 18kD subunit(SPT3)	SPT3	
MYCTH_2117728	Asp/Glu/Hydantoin racemase(DCG1)	DCG1	
MYCTH_2117751	Steryl acetyl hydrolase		
MYCTH_2117759	Belongs to the cytochrome P450 family(DIT2)	DIT2	1.14.14.1
MYCTH_2117807	Common central domain of tyrosinase		1.14.18.1
MYCTH_2117839	May function in recognizing stalled ribosomes and triggering endonucleolytic cleavage of the mRNA, a mechanism to release non-functional ribosomes and degrade damaged mRNAs(DOM34)	DOM34	
MYCTH_2117854	SNF2 family N-terminal domain	RAD16	
MYCTH_2117863	CorA-like Mg2+ transporter protein		
MYCTH_2117900	Copper/zinc superoxide dismutase (SODC)(CCS1)	CCS1	
MYCTH_2117942			
MYCTH_2117988	Peptidase family C50(ESP1)	ESP1	3.4.22.49
MYCTH_2118002	Sugar (and other) transporter	VBA5	
MYCTH_2118030	Neurochondrin		
MYCTH_2118116	ATP-dependent DNA helicase II subunit(YKU80)	YKU80	
MYCTH_2118124	Glycosyl hydrolase family 76	DCW1	3.2.1.101
MYCTH_2118236	Major Facilitator Superfamily	TPO1	
MYCTH_2118258			
MYCTH_2118259			
MYCTH_2118264			
MYCTH_2118274	Haspin like kinase domain		2.7.11.1
MYCTH_2118284	Emopamil binding protein		5.3.3.5
MYCTH_2118373	palmitoyl-(protein) hydrolase activity		
MYCTH_2118447	Dynamin family		
MYCTH_2118512	WD domain, G-beta repeat	GLE2	
MYCTH_2118584	RNA recognition motif 2		
MYCTH_2118610	helicase superfamily c-terminal domain(DRS1)	DRS1	3.6.4.13
MYCTH_2118654	Sugar (and other) transporter	TPO3	
MYCTH_2118655	Belongs to the cytochrome P450 family	ERG11	
MYCTH_2118656	Putative amidoligase enzyme		
MYCTH_2118664	Sugar (and other) transporter	TPO2	
MYCTH_2118668			
MYCTH_2118714			
MYCTH_2118744	Belongs to the peptidase A1 family	PEP4	3.4.23.18
MYCTH_2118751	NAD dependent epimerase/dehydratase family(GRE2)	ARI1	1.1.1.283
MYCTH_2118764	DNA binding		
MYCTH_2118765	Methyltransferase domain		
MYCTH_2118778	integral membrane protein		
MYCTH_2118780	FR47-like protein(ats1)		
MYCTH_2118798	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	UPC2	
MYCTH_2118800	glyoxalase		
MYCTH_2118844	Major Facilitator Superfamily	THI73	
MYCTH_2118845	Oxidoreductase family, C-terminal alpha/beta domain		
MYCTH_2118950	IBR domain, a half RING-finger domain		
MYCTH_2119011	Putative peptidase family	YIL108W	
MYCTH_2119021			
MYCTH_2119125	Ribosomal protein L33		
MYCTH_2119140	HEC/Ndc80p family(NDC80)	TID3	
MYCTH_2119212			
MYCTH_2119272	Neutral/alkaline non-lysosomal ceramidase, C-terminal		3.5.1.23
MYCTH_2119294	DNA replication factor Dna2(dna2)	DNA2	3.6.4.12
MYCTH_2119394	Methyltransferase domain		
MYCTH_2119403	Biotin-protein ligase, N terminal(BPL1)	BPL1	6.3.4.10,6.3.4.11,6.3.4.15,6.3.4.9
MYCTH_2119434	Ribosomal subunit 39S		
MYCTH_2119441	Acetyltransferase (GNAT) family		
MYCTH_2119446	Alpha galactosidase A(aglB)		3.2.1.22
MYCTH_2119478			
MYCTH_2119528	Sedlin, N-terminal conserved region		
MYCTH_2119589	Pyridine nucleotide-disulphide oxidoreductase		
MYCTH_2119593	Adenosine/AMP deaminase		3.5.4.4
MYCTH_2119594	Calcium-activated chloride channel	IST2	
MYCTH_2119667			
MYCTH_2119688	Pyridine nucleotide-disulphide oxidoreductase(aif1)		
MYCTH_2119714	snRNP Sm proteins	SMX2	
MYCTH_2119721	Cytochrome domain of cellobiose dehydrogenase		
MYCTH_2119730	Chitosanase catalyzing the endo-type cleavage of chitosan, the deacylated form of chitin. Chitosanase may be crucial in the degradation of the deacetylated portion of chitin in the fungal cell wall		3.2.1.132
MYCTH_2119779	Biotin and Thiamin Synthesis associated domain(BIO2)	BIO2	2.8.1.6
MYCTH_2119794	FAD binding domain		1.14.13.7
MYCTH_2119798	Protein kinase domain	HAL5	
MYCTH_2119814	alpha/beta hydrolase fold		
MYCTH_2119829	Lytic transglycolase		
MYCTH_2119852			
MYCTH_2119855	Heterokaryon incompatibility protein (HET)		
MYCTH_2119902	Conserved hypothetical protein		
MYCTH_2119925	Phosphotransferase enzyme family		
MYCTH_2119965			
MYCTH_2120042	mRNA cleavage and polyadenylation factor CLP1 P-loop(GRC3)	GRC3	
MYCTH_2120116			
MYCTH_2120123	HNH endonuclease		
MYCTH_2120158	CVNH domain		
MYCTH_2120170	Protein kinase domain	YPL150W	
MYCTH_2120237			
MYCTH_2120346	Epoxide hydrolase N terminus		
MYCTH_2120425	Heterokaryon incompatibility protein (HET)		
MYCTH_2120439	Phosphotransferase enzyme family		
MYCTH_2120441	C6 zinc finger protein		
MYCTH_2120482	Cupin		4.1.1.2
MYCTH_2120489			
MYCTH_2120491	Organic Anion Transporter Polypeptide (OATP) family	VBA5	
MYCTH_2120498	Gentisate 1,2-dioxygenase		1.13.11.4
MYCTH_2120499	Nacht domain protein		
MYCTH_2120504	Belongs to the cytochrome P450 family	ERG5	
MYCTH_2120525	Taurine catabolism dioxygenase TauD, TfdA family		
MYCTH_2120747			
MYCTH_2120748	Major Facilitator Superfamily		
MYCTH_2120753	Belongs to the cytochrome P450 family	ERG5	
MYCTH_2120773			
MYCTH_2120781	DNA-directed RNA polymerase iii complex subunit rpc37		
MYCTH_2120853	Erg28 like protein(ERG28)	ERG28	
MYCTH_2120854	Belongs to the galactose-1-phosphate uridylyltransferase type 1 family(GAL7)	GAL7	2.7.7.12
MYCTH_2120908	Methyltransferase domain		
MYCTH_2120909			
MYCTH_2120910	Encoded by		
MYCTH_2120970	Pfam:Y_phosphatase3C		
MYCTH_2120988	Cytochrome P450	ERG11	
MYCTH_2121009	Integral membrane protein PTH11-like protein		
MYCTH_2121074			
MYCTH_2121095	Guanylate kinase homologues.	GUK1	2.7.4.8
MYCTH_2121130	Belongs to the peptidase A1 family	PEP4	
MYCTH_2121166			
MYCTH_2121249	Ribosomal_S15	MRPS28	
MYCTH_2121306	DNA polymerase delta, subunit 4		
MYCTH_2121324	Phosphotransferase enzyme family	AIM9	
MYCTH_2121336	Broad-Complex, Tramtrack and Bric a brac		
MYCTH_2121350	Gon7 family		
MYCTH_2121442	zinc finger		
MYCTH_2121454	Protein tyrosine kinase	BCK1	
MYCTH_2121463			
MYCTH_2121561	Ubiquitin fusion degradation protein UFD1(UFD1)	UFD1	
MYCTH_2121672			
MYCTH_2121685		ECM9	
MYCTH_2121696			
MYCTH_2121737	Fungal specific transcription factor domain		
MYCTH_2121768			
MYCTH_2121801	Belongs to the glycosyl hydrolase 11 (cellulase G) family		3.2.1.8
MYCTH_2121898			
MYCTH_2121938	Beta-flanking protein		
MYCTH_2121946			
MYCTH_2121955	Tim10/DDP family zinc finger(TIM10)	TIM10	
MYCTH_2122013			
MYCTH_2122038	Domain of unknown function (DUF1768)		
MYCTH_2122065			
MYCTH_2122073	Belongs to the eukaryotic ribosomal protein eL20 family(RPL20B)	RPL20B	
MYCTH_2122076			
MYCTH_2122102			
MYCTH_2122104			
MYCTH_2122106	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain		
MYCTH_2122159	Belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family(TRR1)	TRR1	1.6.5.5,1.8.1.9
MYCTH_2122175			
MYCTH_2122196			
MYCTH_2122199			
MYCTH_2122204			
MYCTH_2122256	emp24/gp25L/p24 family/GOLD(EMP24)	EMP24	
MYCTH_2122366			
MYCTH_2122496	PIG-P	GPI19	
MYCTH_2122524	Alternative sulfate transporter		
MYCTH_2122535			
MYCTH_2122542	Cupin		
MYCTH_2122561			
MYCTH_2122575			
MYCTH_2122605	Amino-transferase class IV	BAT1	2.6.1.42
MYCTH_2122609			
MYCTH_2122612			
MYCTH_2122615			
MYCTH_2122625	1,4-alpha-glucan branching enzyme activity		
MYCTH_2122631			
MYCTH_2122637			
MYCTH_2122648			
MYCTH_2122680			
MYCTH_2122687			
MYCTH_2122693			
MYCTH_2122709			
MYCTH_2122713			
MYCTH_2122766	UDP-glucoronosyl and UDP-glucosyl transferase	ATG26	
MYCTH_2122809	PAS fold		
MYCTH_2122835			
MYCTH_2122870			
MYCTH_2122970			
MYCTH_2123045			
MYCTH_2123079	Adenylylsulphate kinase(MET14)	MET14	2.7.1.25
MYCTH_2123119			
MYCTH_2123181			
MYCTH_2123212			
MYCTH_2123216			
MYCTH_2123217			
MYCTH_2123230	SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397(RPB7)	RPB7	
MYCTH_2123265			
MYCTH_2123273			
MYCTH_2123297			
MYCTH_2123303	ankyrin repeats		
MYCTH_2123311			
MYCTH_2123347	VRR_NUC		3.1.4.1
MYCTH_2123382	Glycosyl hydrolase family 71(agn1)		
MYCTH_2123392			
MYCTH_2123395			
MYCTH_2123398			
MYCTH_2123414			
MYCTH_2123451			
MYCTH_2123458			
MYCTH_2123495			
MYCTH_2123512	Pfam:Pyridox_oxidase	YLR456W	
MYCTH_2123530			
MYCTH_2123570			
MYCTH_2123653			
MYCTH_2123684	Beige/BEACH domain(BPH1)	BPH1	
MYCTH_2123711			
MYCTH_2123876	ML-like domain	FLC2	
MYCTH_2123911			
MYCTH_2123928	Choline/ethanolamine kinase		
MYCTH_2123955			
MYCTH_2123970			
MYCTH_2124049	COPI associated protein	TVP15	
MYCTH_2124085			
MYCTH_2124094			
MYCTH_2124155			
MYCTH_2124177	Replication protein A C terminal(ssb2)	RFA2	
MYCTH_2124179			
MYCTH_2124216			
MYCTH_2124220			
MYCTH_2124224			
MYCTH_2124283			
MYCTH_2124399	glycoside hydrolase family 17(eglC)	BGL2	3.2.1.39
MYCTH_2124418			
MYCTH_2124443	Pyruvate formate lyase activating enzyme		1.97.1.4
MYCTH_2124479			4.2.99.18
MYCTH_2124482	cytidylate kinase activity		
MYCTH_2124493	KR domain		
MYCTH_2124505			
MYCTH_2124533			
MYCTH_2124537			
MYCTH_2124607			
MYCTH_2124653	Beta-lactamase superfamily domain		
MYCTH_2124673	GMC oxidoreductase		
MYCTH_2124691			
MYCTH_2124694			
MYCTH_2124700			
MYCTH_2124711			
MYCTH_2124737			
MYCTH_2124742			
MYCTH_2124743			
MYCTH_2124750	Glucose / Sorbosone dehydrogenase		
MYCTH_2124828	S-adenosyl-L-methionine-dependent protein-lysine N- methyltransferase that methylates elongation factor 1-alpha(EFM6)	YNL024C	
MYCTH_2124857	isoflavone reductase family protein		
MYCTH_2124880			
MYCTH_2124896			
MYCTH_2124903			
MYCTH_2124936			
MYCTH_2124937			
MYCTH_2124971	Acyltransferase family		
MYCTH_2124981			
MYCTH_2124996	Glutamate-cysteine ligase(GSH1)	GSH1	6.3.2.2
MYCTH_2125016			
MYCTH_2125036	Major Facilitator Superfamily		
MYCTH_2125110			
MYCTH_2125134			
MYCTH_2125144			
MYCTH_2125169	Phosphotransferase enzyme family		
MYCTH_2125192			
MYCTH_2125197			
MYCTH_2125234			
MYCTH_2125251			
MYCTH_2125279	Gamma-glutamyl cyclotransferase, AIG2-like		
MYCTH_2125321			
MYCTH_2125404	Proteolipid membrane potential modulator	PMP3	
MYCTH_2125469	NAD(P) transhydrogenase beta subunit		1.6.1.2
MYCTH_2125509			
MYCTH_2125560	to phosphatidylserine decarboxylase	PSD2	4.1.1.65
MYCTH_2125565			
MYCTH_2125573			
MYCTH_2125577			
MYCTH_2125585			
MYCTH_2125592			
MYCTH_2125728	Belongs to the oxygen-dependent FAD-linked oxidoreductase family		
MYCTH_2125822			
MYCTH_2125843	Acetyltransferase (GNAT) domain		
MYCTH_2125853	Zinc finger, C3HC4 type (RING finger)	IRC20	2.3.2.27
MYCTH_2125854	Zinc finger, C3HC4 type (RING finger)	IRC20	2.3.2.27
MYCTH_2125911	Belongs to the FMO family(FMO1)	FMO1	
MYCTH_2125938	Beta-xylanase		3.2.1.8
MYCTH_2125944			
MYCTH_2125965	Methyltransferase domain		
MYCTH_2125988			
MYCTH_2126094			
MYCTH_2126111	geranylgeranyl diphosphate biosynthetic process	BTS1	2.5.1.1,2.5.1.10,2.5.1.29
MYCTH_2126152	Peptidase dimerisation domain(CPGL)	DUG1	
MYCTH_2126239	NAD(P)H-binding		
MYCTH_2126246			
MYCTH_2126285			
MYCTH_2126287			
MYCTH_2126295	FAD binding domain	DLD1	
MYCTH_2126322			
MYCTH_2126499			
MYCTH_2126511	DnaJ molecular chaperone homology domain		
MYCTH_2126533			
MYCTH_2126562	Ribosomal protein L7/L12 dimerisation domain(MNP1)	MNP1	
MYCTH_2126564	AAA domain (Cdc48 subfamily)(YTA7)	YTA7	
MYCTH_2126592			
MYCTH_2126595			
MYCTH_2126672			
MYCTH_2126704			
MYCTH_2126733			
MYCTH_2126754	Prp18 domain	PRP18	
MYCTH_2126809			
MYCTH_2126860	Rad9		3.1.11.2
MYCTH_2126876			
MYCTH_2126894	cfem domain-containing protein		
MYCTH_2126919			
MYCTH_2126943			
MYCTH_2126948			
MYCTH_2126987	Nnf1		1.14.18.1
MYCTH_2126992	Belongs to the mitochondrial carrier (TC 2.A.29) family		3.1.1.23
MYCTH_2127031	Velvet factor		
MYCTH_2127034	Major Facilitator Superfamily	ESBP6	
MYCTH_2127135	Protein of unknown function (DUF788)	YLR065C	
MYCTH_2127139	ribosomal protein	MRPL31	
MYCTH_2127147			
MYCTH_2127191	Domain of unknown function (DUF1996)		
MYCTH_2127197	flavoprotein involved in K transport		1.14.13.22
MYCTH_2127263	pyrimidine nucleotide-sugar transmembrane transporter activity(SLC35A1)		
MYCTH_2127280			
MYCTH_2127287			
MYCTH_2127338			
MYCTH_2127358			
MYCTH_2127362			
MYCTH_2127404	Domain of unknown function (DUF4267)		
MYCTH_2127410	Enoyl-(Acyl carrier protein) reductase	SPS19	1.1.1.252
MYCTH_2127454			
MYCTH_2127456	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family(HGT1)	GAL2	
MYCTH_2127482	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks(ARC18)	ARC18	
MYCTH_2127519	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family	SNF3	
MYCTH_2127524			
MYCTH_2127554			
MYCTH_2127585			
MYCTH_2127657			
MYCTH_2127665	Alpha/beta hydrolase family		3.1.1.23
MYCTH_2127673			
MYCTH_2127683	Belongs to the glycosyl hydrolase 43 family		
MYCTH_2127689			
MYCTH_2127750	zinc finger		
MYCTH_2127753			
MYCTH_2127797			
MYCTH_2127818			
MYCTH_2127855	SelR domain	MXR2	1.8.4.12
MYCTH_2127928			
MYCTH_2127963	Aminopeptidase P, N-terminal domain(ICP55)	ICP55	3.4.11.26
MYCTH_2127975			
MYCTH_2128009	Protein of unknown function (DUF1604)		
MYCTH_2128027	Pyridoxamine 5'-phosphate oxidase		
MYCTH_2128242	polyketide synthase		
MYCTH_2128270			
MYCTH_2128358			
MYCTH_2128361			
MYCTH_2128368			
MYCTH_2128378	CorA-like Mg2+ transporter protein		
MYCTH_2128383	Protein of unknown function (DUF3433)		
MYCTH_2128390			
MYCTH_2128401	Domain of unknown function (DUF4149)	YPR098C	
MYCTH_2128417			
MYCTH_2128477	Alpha/beta hydrolase family		
MYCTH_2128478			
MYCTH_2128489			
MYCTH_2128494			
MYCTH_2128527	FAD binding domain		
MYCTH_2128529			
MYCTH_2128538	Prion-inhibition and propagation		
MYCTH_2128552			
MYCTH_2128565	Beta-lactamase		
MYCTH_2128593			
MYCTH_2128594	Tpr domain-containing protein		
MYCTH_2128605			
MYCTH_2128625			
MYCTH_2128634			
MYCTH_2128639			
MYCTH_2128640			
MYCTH_2128653			
MYCTH_2128656	Domain of unknown function (DUF1996)		
MYCTH_2128658			
MYCTH_2128682			
MYCTH_2128713			
MYCTH_2128726			
MYCTH_2128762	Alpha/beta hydrolase family		
MYCTH_2128775	ATP adenylyltransferase		2.7.7.53
MYCTH_2128790			
MYCTH_2128843	Ankyrin repeat protein		
MYCTH_2128856			
MYCTH_2128866			
MYCTH_2128874	Domain of unknown function (DUF1993)		
MYCTH_2128884			
MYCTH_2128965	Belongs to the mitochondrial carrier (TC 2.A.29) family(DIC1)	DIC1	
MYCTH_2128968	Major Facilitator Superfamily	TNA1	
MYCTH_2128969			
MYCTH_2128976			
MYCTH_2129017			
MYCTH_2129052			
MYCTH_2129148			
MYCTH_2129150			
MYCTH_2129154			
MYCTH_2129155			
MYCTH_2129170	Serine threonine-protein kinase sgk2		
MYCTH_2129201			
MYCTH_2129202			
MYCTH_2129215	Major Facilitator Superfamily	VBA2	
MYCTH_2129342	Acetamidase/Formamidase family		3.5.1.49
MYCTH_2129362	Cytochrome P450	DIT2	
MYCTH_2129368			
MYCTH_2129372	high mobility group	ROX1	
MYCTH_2129393			
MYCTH_2129400			
MYCTH_2129404			
MYCTH_2129407			
MYCTH_2129411			
MYCTH_2129417	Protein of unknown function (DUF3112)		
MYCTH_2129459			
MYCTH_2129465	quinone binding		1.6.5.3,1.6.99.3
MYCTH_2129497			
MYCTH_2129511			
MYCTH_2129515			
MYCTH_2129532			
MYCTH_2129548	Sugar (and other) transporter	MAL11	
MYCTH_2129554	integral membrane protein		
MYCTH_2129566			
MYCTH_2129567			
MYCTH_2129615			
MYCTH_2129660			
MYCTH_2129702			
MYCTH_2129707			
MYCTH_2129714			
MYCTH_2129720			
MYCTH_2129775			
MYCTH_2129781			
MYCTH_2129788	gpi anchored		
MYCTH_2129802			
MYCTH_2129842			
MYCTH_2129843	NmrA-like family		
MYCTH_2129884	Protein tyrosine kinase		
MYCTH_2129891	Platelet-activating factor acetylhydrolase, isoform II		3.1.1.47
MYCTH_2129970			
MYCTH_2129999			
MYCTH_2130022			
MYCTH_2130079			
MYCTH_2130105			
MYCTH_2130123			
MYCTH_2130127			
MYCTH_2130131			
MYCTH_2130132			
MYCTH_2130133		YIL151C	
MYCTH_2130134	ABC transporter transmembrane region(hmt1)	ATM1	
MYCTH_2130137			
MYCTH_2130140			
MYCTH_2130157			
MYCTH_2130158			
MYCTH_2130162			
MYCTH_2130164	L-lysine 6-monooxygenase (NADPH-requiring)		
MYCTH_2130172			
MYCTH_2130178			
MYCTH_2130243			
MYCTH_2130249			
MYCTH_2130288			3.1.1.17
MYCTH_2130296		YIL082W-A	
MYCTH_2130327	Mitochondrial import receptor subunit or translocase		
MYCTH_2130345			
MYCTH_2130352	Major Facilitator Superfamily		
MYCTH_2130377			
MYCTH_2130409	Putative esterase		
MYCTH_2130416	YhhN family		
MYCTH_2130467			
MYCTH_2130496	Sfi1 spindle body protein		
MYCTH_2130506			
MYCTH_2130517			
MYCTH_2130550			
MYCTH_2130591			
MYCTH_2130620	Ankyrin Repeat Protein		
MYCTH_2130669			
MYCTH_2130688			
MYCTH_2130701			
MYCTH_2130717			
MYCTH_2130730			
MYCTH_2130777			
MYCTH_2130787	Cytochrome oxidase complex assembly protein 1(COA1)	COA1	
MYCTH_2130796			
MYCTH_2130809	Non-classical export protein 1		
MYCTH_2130846			
MYCTH_2130877			
MYCTH_2130919			
MYCTH_2130929	DNA binding domain with preference for A/T rich regions		
MYCTH_2130973	Carbohydrate esterase family 1 protein		3.1.1.72
MYCTH_2130987			
MYCTH_2131034	Protein of unknown function (DUF726)	YFL034W	
MYCTH_2131097	GPI anchored protein		
MYCTH_2131203			
MYCTH_2131210	Enoyl-(Acyl carrier protein) reductase		
MYCTH_2131220			
MYCTH_2131229			
MYCTH_2131244			
MYCTH_2131264			
MYCTH_2131293			
MYCTH_2131308			
MYCTH_2131320			
MYCTH_2131445	BCS1_N(BCS1)	BCS1	
MYCTH_2131574	Cell wall proline rich protein		
MYCTH_2131761	Transporter	VBA3	
MYCTH_2131791	Slime mold cyclic AMP receptor		
MYCTH_2131805	Protein of unknown function (DUF3237)		
MYCTH_2132093			
MYCTH_2132220			
MYCTH_2132225	HCNGP-like protein		
MYCTH_2132318	YIF1(hrf1)	YIF1	
MYCTH_2132417	WD domain, G-beta repeat	TUP1	
