Gene	Description	Symbol	EC
ANI_1_126164	Zinc-binding dehydrogenase		
ANI_1_126174	Major Facilitator Superfamily		
ANI_1_126184	Protein of unknown function (DUF1761)		
ANI_1_1262014	short chain dehydrogenase reductase family		
ANI_1_1262034	HNH endonuclease		
ANI_1_1262064	Chromosome segregation protein (SepB)(mcl1)		
ANI_1_1262084	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		
ANI_1_1262124	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
ANI_1_1262134	FAD binding		
ANI_1_1262164	Belongs to the glycosyl hydrolase 5 (cellulase A) family(EXG3)		3.2.1.58
ANI_1_1264014	OTU-like cysteine protease(OTU2)		3.4.19.12
ANI_1_1264024	Clathrin-coated vesiclec protein (Bud7)(BUD7)		
ANI_1_1264084			
ANI_1_1264094	Epidermal growth factor-like domain.		
ANI_1_1264124	Uracil phosphoribosyltransferase		
ANI_1_1264134	Major Facilitator Superfamily		
ANI_1_1264144	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain(ALA1)		6.1.1.7
ANI_1_1264164	Mitochondrial inner-membrane-bound regulator		
ANI_1_1264184			
ANI_1_1266084	zinc finger		
ANI_1_1266124	Phosphotransferase enzyme family		
ANI_1_1266134	GMC oxidoreductase		
ANI_1_1266144	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD(cyp3)		5.2.1.8
ANI_1_1266164	hepatocyte growth factor receptor signaling pathway		
ANI_1_1266184	Belongs to the synaptobrevin family(YKT6)		
ANI_1_1268014	MFS multidrug resistance transporter		
ANI_1_1268024	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family		2.8.3.13
ANI_1_1268034			
ANI_1_1268084	Common central domain of tyrosinase		1.14.18.1
ANI_1_1268094	Belongs to the complex I LYR family		
ANI_1_1268134	Carboxylesterase family		3.1.1.1,3.1.1.56,3.1.1.84
ANI_1_1268164	Belongs to the thioredoxin family		
ANI_1_1270014	Gamma-glutamyltranspeptidase		2.3.2.2,3.4.19.13
ANI_1_1270024	RTA1 domain protein		
ANI_1_1270064	Protein of unknown function (DUF3128)		
ANI_1_1270084	Telomere recombination		
ANI_1_1270144			
ANI_1_1270164	Protein of unknown function (DUF3074)		
ANI_1_1272024	Ubiquitin-conjugating enzyme E2, catalytic domain homologues		3.4.21.89
ANI_1_1272034	Metallo-beta-lactamase superfamily		
ANI_1_1272064	glutamate synthase(GLT1)		1.4.1.13,1.4.1.14
ANI_1_1272084			
ANI_1_1272134			
ANI_1_1272144	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		
ANI_1_1272164	Splicing factor 3B subunit 10 (SF3b10)		
ANI_1_1274064	Apc15p protein		
ANI_1_1274084	MoaC family		4.6.1.17
ANI_1_1274094	Belongs to the DHHC palmitoyltransferase family(ERF2)		2.3.1.225
ANI_1_1274124	Domain of unknown function (DUF3425)		
ANI_1_1274134	Peptidase family M3		
ANI_1_1274144	Belongs to the type-B carboxylesterase lipase family		
ANI_1_1274164	tRNA-specific adenosine deaminase		3.5.4.34
ANI_1_1276024	GTPase activating protein (Gyp3)		
ANI_1_1276034	Zinc-binding dehydrogenase		
ANI_1_1276064	SNARE complex subunit(BET1)		
ANI_1_1276074	Oxidoreductase, short chain dehydrogenase reductase family		1.1.1.289
ANI_1_1276084	Clr5 domain		
ANI_1_1276094			
ANI_1_1276104	GMC oxidoreductase		1.1.99.1
ANI_1_1276124	ThiJ PfpI family protein		
ANI_1_1276144	Fungal specific transcription factor domain		
ANI_1_1276164			
ANI_1_1276184	Deoxyribodipyrimidine photo-lyase(PHR1)		4.1.99.3
ANI_1_1278014	Belongs to the CDP-alcohol phosphatidyltransferase class-I family(CHO1)		2.7.8.8
ANI_1_1278024	Belongs to the CTL (choline transporter-like) family(PNS1)		
ANI_1_1278034	Sugar 1,4-lactone oxidase(ALO1)		1.1.3.37,1.1.3.8
ANI_1_1278064	Histone chaperone domain CHZ(chz1)		
ANI_1_1278084	Domain of unknown function (DUF4396)		
ANI_1_1278094	mannosyltransferase 1(PMT1)		2.4.1.109
ANI_1_1278124	ethyl tert-butyl ether degradation		
ANI_1_1278134	Chromosome condensation protein		
ANI_1_1278164	Arsenite efflux transporter ArsB, puative(ARR3)		
ANI_1_1280014	Required for ribosome biogenesis. Part of a complex which catalyzes pseudouridylation of rRNA. This involves the isomerization of uridine such that the ribose is subsequently attached to C5, instead of the normal N1(GAR1)		
ANI_1_1280034	ABC transporter		
ANI_1_1280064	Non-classical export protein 1		
ANI_1_1280084	Tetratricopeptide repeat		
ANI_1_1280104			
ANI_1_1280124	Amidohydrolase family		
ANI_1_1280134	short chain dehydrogenase reductase family protein(ADI1)		
ANI_1_128014	U2 auxiliary factor small subunit		
ANI_1_1280144	MFS drug transporter		
ANI_1_1280164	Inositol phospholipid biosynthesis protein Scs3		2.7.7.53
ANI_1_128054	Belongs to the ubiquitin-conjugating enzyme family(UBC2)		2.3.2.23
ANI_1_128094	Ubiquitin-like activating enzyme (UbaB)(UBA2)		6.2.1.45
ANI_1_128114	C6 transcription factor		
ANI_1_128144	Cytochrome P450		1.14.14.54
ANI_1_128164	Belongs to the GMC oxidoreductase family		
ANI_1_128174	Pyridine nucleotide-disulphide oxidoreductase		
ANI_1_128184	NADH-ubiquinone oxidoreductase 21 kDa subunit		
ANI_1_1282014	threonyl-tRNA synthetase		6.1.1.3
ANI_1_1282024	Belongs to the AAA ATPase family(BCS1)		
ANI_1_1282034	Udp-glucose		1.1.1.22
ANI_1_1282064	Belongs to the mitochondrial carrier (TC 2.A.29) family(YHM1)		
ANI_1_1282084	Reversible hydration of carbon dioxide(NCE103)		4.2.1.1
ANI_1_1282104			
ANI_1_1282124	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		
ANI_1_1282134	Signal peptide peptidase		
ANI_1_1282164			
ANI_1_1284034	TPR domain protein		
ANI_1_1284064	Ubiquitin-like modifier involved in autophagosomes formation. With atg4, mediates the delivery of the autophagosomes to the vacuole via the microtubule cytoskeleton. Required for selective autophagic degradation of the nucleus (nucleophagy) as well as for mitophagy which contributes to regulate mitochondrial quantity and quality by eliminating the mitochondria to a basal level to fulfill cellular energy requirements and preventing excess ROS production. Participates also in membrane fusion events that take place in the early secretory pathway. Also involved in endoplasmic reticulum-specific autophagic process and is essential for the survival of cells subjected to severe ER stress. The atg8- PE conjugate mediates tethering between adjacent membranes and stimulates membrane hemifusion, leading to expansion of the autophagosomal membrane during autophagy(ATG8)		
ANI_1_1284084	alpha-amylase		3.2.1.1
ANI_1_1284094	DsDNA-binding protein PDCD5		
ANI_1_1284124	Cytochrome domain of cellobiose dehydrogenase		
ANI_1_1284134	NAD(P)H-binding		
ANI_1_1284144			
ANI_1_1284164	Erythromycin esterase		
ANI_1_1286014	Mitogen-activated protein kinase(MKC1)		2.7.11.24
ANI_1_1286024	assists the folding of proteins upon ATP hydrolysis(CCT3)		
ANI_1_1286034			
ANI_1_1286064	Coproporphyrinogen III oxidase(HEM13)		1.3.3.3
ANI_1_1286084	Iron-containing alcohol dehydrogenase		
ANI_1_1286124	Major Facilitator Superfamily		
ANI_1_1286134	eukaryotic translation initiation factor(GCD1)		
ANI_1_1286144	pericentric heterochromatin assembly		
ANI_1_1286164	Heterokaryon incompatibility protein (HET)		
ANI_1_1288034	nonribosomal peptide		
ANI_1_1288064	Microtubule binding protein HOOK3		
ANI_1_1288084	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily(DNF1)		3.6.1.3,3.6.3.1,3.6.3.8
ANI_1_1288104			
ANI_1_1288124	Glycosyl hydrolase family 88		3.2.1.172
ANI_1_1288134	Translation initiation regulator (Gcn20)(GCN20)		
ANI_1_1288144	Aldolase		4.1.2.13
ANI_1_1288164	integral membrane protein		
ANI_1_1290034	Siderophore biosynthesis protein domain		
ANI_1_1290064			
ANI_1_1290084	Fungal trichothecene efflux pump (TRI12)		
ANI_1_1290104	D-lactate dehydrogenase (cytochrome)(DLD1)		1.1.2.4
ANI_1_1290124	Belongs to the oxygen-dependent FAD-linked oxidoreductase family		
ANI_1_1290134			
ANI_1_1290144	Malate/L-lactate dehydrogenase		
ANI_1_1290164	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors (By similarity)(NUT2)		
ANI_1_1290184	ER-Golgi trafficking TRAPP I complex 85 kDa subunit		
ANI_1_1292014	Pyridine nucleotide-disulphide oxidoreductase		
ANI_1_1292034	enoyl-CoA hydratase isomerase family protein		
ANI_1_1292064	mRNA cleavage factor complex component Pcf11(PCF11)		
ANI_1_1292084	integral membrane protein		
ANI_1_1292094	chch domain protein		
ANI_1_1292104			
ANI_1_1292124	integral membrane protein		
ANI_1_1292134	Aminotransferase class I and II		2.6.1.27,2.6.1.39,2.6.1.5,2.6.1.57
ANI_1_1292144	Stress responsive A B barrel domain		
ANI_1_1292164			
ANI_1_1292184	Belongs to the SNF7 family		
ANI_1_1294014	TfdA family taurine dioxygenase		
ANI_1_1294034	DEAD DEAH box helicase(irc3)		
ANI_1_1294064	Dimeric dihydrodiol dehydrogenase		
ANI_1_1294084			
ANI_1_1294104	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway		
ANI_1_1294124	Sensor histidine kinase response regulator		
ANI_1_1294134			
ANI_1_1294144	Aldolase/RraA		
ANI_1_1294164	integral membrane protein		
ANI_1_1296034	ABC multidrug transporter		
ANI_1_1296064	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. Adenylate kinase activity is critical for regulation of the phosphate utilization and the AMP de novo biosynthesis pathways(ADK1)		2.7.4.3
ANI_1_1296074	Belongs to the sulfatase family		
ANI_1_1296084	integral membrane protein		
ANI_1_1296094	CENP-S protein		
ANI_1_1296144	Fungal specific transcription factor domain		
ANI_1_1296164	DnaJ and TPR domain protein		
ANI_1_1296184	DNA polymerase subunit Cdc27(cdc27)		
ANI_1_1298024			
ANI_1_1298074	Beta-lactamase superfamily domain		
ANI_1_1298084	Hydroxymethylglutaryl-coenzyme A reductase		
ANI_1_1298094	U3-containing 90S pre-ribosomal complex subunit(cms1)		
ANI_1_1298104	Conserved glycine-rich protein		
ANI_1_1298124	Predicted integral membrane zinc-ribbon metal-binding protein		
ANI_1_1298144	TIM barrel metal-dependent hydrolase		
ANI_1_1298164	Dynamin family		
ANI_1_1300014	Voltage-gated potassium channel		
ANI_1_1300024			
ANI_1_1300034	Pyridine nucleotide-disulphide oxidoreductase		1.8.5.8
ANI_1_1300094	RNA recognition motif		
ANI_1_1300104	Clr5 domain		
ANI_1_1300124	Dicer-like endonuclease involved in cleaving double- stranded RNA in the RNA interference (RNAi) pathway. Produces 21 to 25 bp dsRNAs (siRNAs) which target the selective destruction of homologous RNAs leading to sequence-specific suppression of gene expression, called post-transcriptional gene silencing (PTGS). Part of a broad host defense response against viral infection and transposons (By similarity)(dcl2)		
ANI_1_1300134			
ANI_1_1300144	D-ala D-ala ligase C-terminus		
ANI_1_1300164			
ANI_1_130054	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family		
ANI_1_130094	Potential Queuosine, Q, salvage protein family		
ANI_1_130104	C4-dicarboxylate transporter malic acid transport protein(SSU1)		
ANI_1_130114	Mandelate racemase muconate lactonizing enzyme family protein		4.2.1.90
ANI_1_130124	SAC3 GANP domain protein		
ANI_1_130134	60S ribosomal subunit assembly export protein LOC1(LOC1)		
ANI_1_130164	Belongs to the sterol desaturase family		
ANI_1_130174	Fungal specific transcription factor domain		
ANI_1_130184	Disrupter of telomere silencing protein Dot5(DOT5)		1.11.1.15
ANI_1_1302034			
ANI_1_1302084	RTA1 domain protein		
ANI_1_1302094	Belongs to the small GTPase superfamily. Rho family		
ANI_1_1302104	Endoribonuclease L-PSP		3.5.99.10
ANI_1_1302124	Vesicle-mediated transport protein (Imh1)(IMH1)		
ANI_1_1302134	Encoded by		
ANI_1_1302144	RmlD substrate binding domain(GAL102)		4.2.1.46
ANI_1_1302164	Protein transport protein Sec39		
ANI_1_1304014	Glutathione S-transferase, C-terminal domain		
ANI_1_1304024	Deacetylase complex subunit Sds3		
ANI_1_1304064	Methyltransferase domain(TRM9)		2.1.1.229
ANI_1_1304074	Glycosyl hydrolase family 71(agn1)		
ANI_1_1304084	Xylose isomerase-like TIM barrel		
ANI_1_1304094	Transcription factor		
ANI_1_1304104			
ANI_1_1304124	Belongs to the oxygen-dependent FAD-linked oxidoreductase family		
ANI_1_1304134	FAD dependent oxidoreductase central domain		
ANI_1_1304144			
ANI_1_1304164	TBP associated factor (Mot1)(MOT1)		
ANI_1_1304184	Involved in the small subunit (SSU) processome assembly and function, and in the 18S rRNA synthesis. Required for the early cleavages at sites A0, A1 and A2 (By similarity)(ESF2)		
ANI_1_1306024			
ANI_1_1306034	quinate 5-dehydrogenase		1.1.1.24
ANI_1_1306064	Cupin domain protein(MIF2)		
ANI_1_1306084	Belongs to the glycosyl hydrolase 31 family		3.2.1.177
ANI_1_1306094	Rho GTPase activator (Rgd1)(RGD1)		
ANI_1_1306104	Belongs to the glycosyl hydrolase 47 family		3.2.1.24
ANI_1_1306124	Major Facilitator Superfamily		
ANI_1_1306134			
ANI_1_1306144	transporter		
ANI_1_1306164	AMP-binding domain protein		3.2.1.4
ANI_1_1306184	Belongs to the mitochondrial carrier (TC 2.A.29) family(LEU5)		
ANI_1_1308034	Reversible hydration of carbon dioxide(NCE103)		4.2.1.1
ANI_1_1308064	Cell polarity protein alp11		
ANI_1_1308074	integral membrane protein		
ANI_1_1308084	SUR7/PalI family		
ANI_1_1308094			
ANI_1_1308104			
ANI_1_1308124			
ANI_1_1308134	Phosphotransferase enzyme family		
ANI_1_1308144	Dimeric dihydrodiol dehydrogenase		
ANI_1_1308164	Serine palmitoyltransferase(LCB2)		2.3.1.50
ANI_1_1310014	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family		2.1.1.311
ANI_1_1310034	Belongs to the multicopper oxidase family		
ANI_1_1310084	MFS multidrug transporter		
ANI_1_1310104	Subunit 11 of the general transcription factor TFIIH		
ANI_1_1310124	Belongs to the cytochrome P450 family		
ANI_1_1310134	c6 finger domain protein		
ANI_1_1310144	DegT/DnrJ/EryC1/StrS aminotransferase family		2.6.1.59
ANI_1_1310164	Ser Thr protein phosphatase family protein		
ANI_1_1310184	Belongs to the ALG6 ALG8 glucosyltransferase family(ALG8)		2.4.1.265
ANI_1_1312014	FYVE domain protein(PIB2)		
ANI_1_1312034	Alpha/beta hydrolase family		
ANI_1_1312064	Peroxisomal membrane protein (Pex16)		
ANI_1_1312074	organic heteropentacyclic compound biosynthetic process		
ANI_1_1312084	Saccharomyces cerevisiae YFR016C		
ANI_1_1312094	Translation initiation factor(SUI1)		
ANI_1_1312104	Belongs to the RecA family		
ANI_1_1312124	Encoded by		
ANI_1_1312134	oxidoreductase activity		
ANI_1_1312164	DnaJ molecular chaperone homology domain		
ANI_1_1312184	Lectin family integral membrane protein		
ANI_1_1314024	Aldose 1-epimerase		5.1.3.3
ANI_1_1314034	DUF914 domain membrane protein		
ANI_1_1314084	repair protein Pso2 Snm1(pso2)		
ANI_1_1314094	Uncharacterised protein family (UPF0139)		
ANI_1_1314104	Streptococcal hemagglutinin protein		
ANI_1_1314134	Fasciclin domain family		
ANI_1_1314144	Major intrinsic protein		
ANI_1_1314164	Alpha/beta hydrolase family		
ANI_1_1316024	Belongs to the actin family		
ANI_1_1316034	DUF625 domain protein(PSY2)		
ANI_1_1316064	Zinc knuckle domain protein		
ANI_1_1316084	C6 transcription factor (Leu3)		
ANI_1_1316094	Component of the srb8-11 complex. The srb8-11 complex is a regulatory module of the Mediator complex which is itself involved in regulation of basal and activated RNA polymerase II- dependent transcription. The srb8-11 complex may be involved in the transcriptional repression of a subset of genes regulated by Mediator. It may inhibit the association of the Mediator complex with RNA polymerase II to form the holoenzyme complex (By similarity)(SRB8)		
ANI_1_1316104	Lysine methyltransferase		
ANI_1_1316124			
ANI_1_1316134	DUF636 domain protein		
ANI_1_1316144	C4-dicarboxylate transporter malic acid transport protein		
ANI_1_1316164			
ANI_1_1316184	Curved DNA-binding protein (42 kDa protein)		3.4.11.18
ANI_1_1318014	Oxidoreductase FAD-binding domain		1.6.2.2
ANI_1_1318034	Pfam:DUF2305		
ANI_1_1318064	YdiU domain protein		
ANI_1_1318084	seed maturation protein		
ANI_1_1318104	Ran-binding protein		
ANI_1_1318124	FHA domain protein SNIP1		
ANI_1_1318134	Pentatricopeptide repeat protein		
ANI_1_1318144	domain protein		
ANI_1_1318164	Transcription factor		
ANI_1_1320014	cytochrome P450		
ANI_1_1320034	Decapping enzyme Dcp1		
ANI_1_1320064	Aldo/keto reductase family		1.1.1.358
ANI_1_1320084	aflatoxin biosynthetic process		
ANI_1_1320094	Phosphoribosylaminoimidazolesuccinocarboxamide synthase(ADE1)		6.3.2.6
ANI_1_1320104	RNA polymerase I subunit Rpa43		
ANI_1_1320124	DnaJ molecular chaperone homology domain(JID1)		
ANI_1_1320134	Protein of unknown function (DUF2439)		
ANI_1_132014	short-chain dehydrogenase		1.1.1.320
ANI_1_1320144	Geranylgeranyl pyrophosphate synthase		2.5.1.1,2.5.1.10,2.5.1.29,4.2.3.145
ANI_1_1320164	finger domain protein		
ANI_1_132074	R3H domain protein		
ANI_1_132114	Enoyl-(Acyl carrier protein) reductase		1.1.1.173,1.1.1.377,1.1.1.378
ANI_1_132134	NADH-ubiquinone oxidoreductase B14 subunit		
ANI_1_132154	UPF0187 domain membrane protein		
ANI_1_132174	cytochrome P450		
ANI_1_132184	Mitochondrial protein sorting (Msf1)(UPS2)		
ANI_1_1322024	Phosphatidate cytidylyltransferase(DGK1)		2.7.1.174
ANI_1_1322034	phosphatase family		3.1.3.36
ANI_1_1322084	aflatoxin biosynthetic process		
ANI_1_1322124	acyl-CoA dehydrogenase		1.3.8.7
ANI_1_1322134			
ANI_1_1322144			
ANI_1_1322164	DUF726 domain protein		
ANI_1_1322184	Endonuclease/Exonuclease/phosphatase family		
ANI_1_1324024	ATP-binding RNA helicase involved in the biogenesis of 60S ribosomal subunits. Binds 90S pre-ribosomal particles and dissociates from pre-60S ribosomal particles after processing of 27SB pre-rRNA. Required for the normal formation of 18S rRNA through the processing of pre-rRNAs at sites A0, A1 and A2, and the normal formation of 25S and 5.8S rRNAs through the processing of pre-rRNAs at sites C1 and C2(SPB4)		3.6.4.13
ANI_1_1324034			
ANI_1_1324064	Belongs to the CTL (choline transporter-like) family		
ANI_1_1324074	acid phosphatase(phoA)		3.1.3.2
ANI_1_1324084	Phosphatidylethanolamine-binding protein		
ANI_1_1324104	Arrestin (Or S-antigen), N-terminal domain protein		
ANI_1_1324124	Peptidase A4 family		
ANI_1_1324134	Inositol 5-phosphatase		3.1.3.56,6.5.1.4
ANI_1_1324144	Methionine biosynthesis protein MetW		
ANI_1_1324164	RTC4-like domain		
ANI_1_1324184	SWI-SNF complex subunit (Snf5)(SNF5)		
ANI_1_1326034	A-pheromone receptor PreA(STE3)		
ANI_1_1326064	Secretion related GTPase SrgD		
ANI_1_1326074			
ANI_1_1326084	PAS domain		
ANI_1_1326094	DNA lyase(APN2)		4.2.99.18
ANI_1_1326104	Triacylglycerol lipase(TGL2)		3.1.1.3
ANI_1_1326124	Actin binding protein(ABP140)		2.1.1.268
ANI_1_1326134	Methylmalonyl-CoA decarboxylase, alpha subunit		
ANI_1_1326144	dienelactone hydrolase		
ANI_1_1326164	MFS transporter		
ANI_1_1328014	Fatty acid desaturase		
ANI_1_1328024	Ribosomal protein S15		
ANI_1_1328034	Domain of unknown function (DUF4203)		
ANI_1_1328064	Protein O-mannosyl transferase(PMT2)		2.4.1.109
ANI_1_1328084	Transmembrane amino acid transporter protein		
ANI_1_1328094	Cytochrome c oxidase subunit		
ANI_1_1328104	Cytochrome c oxidase assembly protein (Pet117)		
ANI_1_1328124	ABC transporter transmembrane region		
ANI_1_1328134			
ANI_1_1328144			
ANI_1_1328164	C2H2 finger domain protein		
ANI_1_1328184	60S ribosomal protein(RPL43)		
ANI_1_1330024	Required for the assembly and or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits(RPS0)		
ANI_1_1330034	SAC3/GANP family(SAC3)		
ANI_1_1330064	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family(HGT3)		
ANI_1_1330074	NADPH oxidase (NoxA)		
ANI_1_1330084	Glycosyl transferase family group 2		
ANI_1_1330124	Domain of unknown function (DUF3425)		
ANI_1_1330144	Fungal specific transcription factor domain		
ANI_1_1330164			
ANI_1_1330184	Saccharopine dehydrogenase NADP binding domain		
ANI_1_1332014	Glutathione S-transferase(GTT1)		2.5.1.18
ANI_1_1332034	Protein of unknown function (DUF2841)		
ANI_1_1332074	PRO41 protein		
ANI_1_1332084			
ANI_1_1332094	CorA-like Mg2+ transporter protein		3.1.3.96
ANI_1_1332104	C6 zinc finger		
ANI_1_1332124	Protein of unknown function (DUF3500)		
ANI_1_1332134			
ANI_1_1332144	FAD binding domain		1.14.13.1
ANI_1_1332164			
ANI_1_1332184	epoxide hydrolase		3.1.3.76,3.3.2.10
ANI_1_1334014	NADH-ubiquinone oxidoreductase B15 subunit (NDUFB4)		
ANI_1_1334024	Pseudouridylate synthase 3(DEG1)		5.4.99.45
ANI_1_1334034	serine threonine protein kinase		2.7.11.1,2.7.11.17
ANI_1_1334064	Component of the FACT complex, a general chromatin factor that acts to reorganize nucleosomes. The FACT complex is involved in multiple processes that require DNA as a template such as mRNA elongation, DNA replication and DNA repair. During transcription elongation the FACT complex acts as a histone chaperone that both destabilizes and restores nucleosomal structure. It facilitates the passage of RNA polymerase II and transcription by promoting the dissociation of one histone H2A-H2B dimer from the nucleosome, then subsequently promotes the reestablishment of the nucleosome following the passage of RNA polymerase II (By similarity)(SPT16)		3.4.11.9
ANI_1_1334084	NAD(P)H-binding		
ANI_1_1334094	Glucose n-acetyltransferase		
ANI_1_1334104	C6 zinc finger		
ANI_1_1334124	FAD binding domain		
ANI_1_1334134	C2H2 finger domain protein		
ANI_1_1334144	Alcohol dehydrogenase GroES-like domain		
ANI_1_1334164	Aldehyde dehydrogenase family		1.2.1.3
ANI_1_1334184	Nuclear protein SDK3		
ANI_1_1336024	GPI-GlcNAc transferase complex, PIG-H component		
ANI_1_1336034			
ANI_1_1336074	RNA binding protein		
ANI_1_1336084	Encoded by		
ANI_1_1336094	Belongs to the aldehyde dehydrogenase family		
ANI_1_1336104	Prolyl oligopeptidase family		
ANI_1_1336124	allantoinase(DAL1)		3.5.2.5
ANI_1_1336134	Carboxyvinyl-carboxyphosphonate phosphorylmutase		
ANI_1_1336144	Zinc-binding dehydrogenase		
ANI_1_1336164	Peroxisome biosynthesis protein (Peroxin-2)(PEX2)		
ANI_1_1336184	PHF5-like protein(ini1)		
ANI_1_1338014	mRNA splicing factor (Prp18)		
ANI_1_1338024	Ribose-phosphate pyrophosphokinase(PRS5)		2.7.6.1
ANI_1_1338034	Belongs to the adaptor complexes medium subunit family(APM4)		
ANI_1_1338064	LEM3 CDC50 family protein(LEM3)		
ANI_1_1338084	Calcineurin-like phosphoesterase superfamily domain		
ANI_1_1338094	Caib baif family enzyme		
ANI_1_1338104	Transcription factor		
ANI_1_1338124	Sucrase/ferredoxin-like		
ANI_1_1338134	O-methyltransferase		2.1.1.6
ANI_1_1338144	Class II Aldolase and Adducin N-terminal domain		
ANI_1_1338164	CAIB BAIF family enzyme		
ANI_1_1338184	Actin monomer binding protein(TWF1)		
ANI_1_134	Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane(SEC15)		
ANI_1_1340024	Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. The active enzyme consists of a catalytic V1 domain attached to an integral membrane V0 proton pore complex. This subunit is a non-integral membrane component of the membrane pore domain and is required for proper assembly of the V0 sector. Might be involved in the regulated assembly of V1 subunits onto the membrane sector or alternatively may prevent the passage of protons through V0 pores(VMA6)		
ANI_1_1340034	Importin 13(PDR6)		
ANI_1_1340064	SWIRM domain protein		
ANI_1_1340074	26S proteasome non-ATPase regulatory subunit(NAS2)		
ANI_1_1340084	MAC/Perforin domain		
ANI_1_1340094	Cytoskeleton assembly control protein Sla2(SLA2)		
ANI_1_1340104	Chromatin modification-related protein		
ANI_1_1340124	Flavin-binding monooxygenase		
ANI_1_1340134	GMC oxidoreductase		1.1.99.1
ANI_1_134014	CBF NF-Y family transcription factor(NCB2)		
ANI_1_1340144	Fungal specific transcription factor domain		
ANI_1_1340164	Sen15 protein		
ANI_1_1340184	Belongs to the mitochondrial carrier (TC 2.A.29) family(SFC1)		
ANI_1_134064	Glutathione S-transferase		2.5.1.18
ANI_1_134094	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides		5.2.1.8
ANI_1_134114	Amidohydrolase(LRA2)		3.1.1.65
ANI_1_134134	RNA polymerase Rpb3/Rpb11 dimerisation domain(RPC19)		
ANI_1_134174	Amidohydrolase		4.1.1.52
ANI_1_134184	Phosphoethanolamine(MUQ1)		2.7.7.14
ANI_1_1342024	Nucleolar protein(NOP58)		
ANI_1_1342034			
ANI_1_1342064			
ANI_1_1342074	GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export. Involved in chromatin condensation and control of cell cycle(GSP1)		
ANI_1_1342084	Belongs to the type-B carboxylesterase lipase family		
ANI_1_1342094	PH domain-containing protein		
ANI_1_1342104	Transcription factor		
ANI_1_1342124	Transcription factor		
ANI_1_1342134	Gamma-butyrobetaine		
ANI_1_1342144	NAD(P)H-binding		
ANI_1_1342164	Vacuolar import and degradation protein		
ANI_1_1344014	ADP-ribosylation factor family protein(ARL3)		
ANI_1_1344034			
ANI_1_1344064	Alpha/beta hydrolase of unknown function (DUF1100)		
ANI_1_1344084	Belongs to the type-B carboxylesterase lipase family		
ANI_1_1344104	Transcription factor		
ANI_1_1344124	short chain dehydrogenase		
ANI_1_1344134	exonuclease		
ANI_1_1344144	Amidohydrolase		
ANI_1_1344164	PXA domain protein		
ANI_1_1344184	Peroxin 26		
ANI_1_1346034			
ANI_1_1346064	Encoded by		
ANI_1_1346084			
ANI_1_1346104	protein ubiquitination		
ANI_1_1346124	F-box domain		4.1.3.38
ANI_1_1346134			
ANI_1_1346144	Sugar (and other) transporter		
ANI_1_1346164	Putative DNA-binding domain in centromere protein B, mouse jerky and transposases.		
ANI_1_1346184	39S mitochondrial ribosomal protein L46		3.1.13.4
ANI_1_1348034	NUDIX family hydrolase		
ANI_1_1348064	AMP-binding enzyme		
ANI_1_1348074	SCP-2 sterol transfer family		
ANI_1_1348084	Belongs to the peptidase S8 family(alp)		3.4.21.63
ANI_1_1348094	Belongs to the FPP GGPP synthase family(COQ1)		2.5.1.82,2.5.1.83
ANI_1_1348134	aldolase		4.1.2.48
ANI_1_1348164	Glycosyl transferase family 8(GLG2)		2.4.1.186
ANI_1_1348184	39S mitochondrial ribosomal protein L46		3.1.13.4
ANI_1_1350014	DEAD DEAH box helicase(DBP6)		3.6.4.13
ANI_1_1350034	Polyubiquitin binding protein (Doa1 Ufd3)(lub1)		
