Gene	Description	Symbol	EC
TRIREDRAFT_121620	NMT1/THI5 like(nmt1)		
TRIREDRAFT_121629	Acyl-CoA dehydrogenase, C-terminal domain		
TRIREDRAFT_121630	WD40 repeats		
TRIREDRAFT_121638			
TRIREDRAFT_121639	DNA replication and checkpoint protein		
TRIREDRAFT_121646	VID27 cytoplasmic protein(vid27)		2.1.1.221
TRIREDRAFT_121647			
TRIREDRAFT_121652	Region in Clathrin and VPS(VPS41)		
TRIREDRAFT_121653	Lea domain protein		
TRIREDRAFT_121654	U3 small nucleolar RNA-associated protein 6(UTP6)		
TRIREDRAFT_121656	zinc finger		
TRIREDRAFT_121660			
TRIREDRAFT_121661	Aldose 1-epimerase		5.1.3.3
TRIREDRAFT_121664	Pyridoxal-dependent decarboxylase conserved domain(GAD2)		4.1.1.15
TRIREDRAFT_121670	Frequency clock protein		
TRIREDRAFT_121681			
TRIREDRAFT_121682	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
TRIREDRAFT_121684	Belongs to the protein kinase superfamily(cmk1)		2.7.11.17
TRIREDRAFT_121686	Interconversion of serine and glycine(SHM2)		2.1.2.1
TRIREDRAFT_121689	carbohydrate-binding module family 19 protein		
TRIREDRAFT_121693	Glutathione-dependent formaldehyde-activating		
TRIREDRAFT_121702	WSC domain		
TRIREDRAFT_121706	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)(ARO4)		2.5.1.54
TRIREDRAFT_121717			
TRIREDRAFT_121725	RNA splicing		
TRIREDRAFT_121732	Surfeit locus protein 5 subunit 22 of Mediator complex		
TRIREDRAFT_121733	Ergosterol biosynthesis ERG4/ERG24 family(ERG24)		1.3.1.70
TRIREDRAFT_121735	Fibronectin type III-like domain(BGL4)		3.2.1.21
TRIREDRAFT_121739			
TRIREDRAFT_121741	Belongs to the eukaryotic ribosomal protein eS7 family(RPS7A)		
TRIREDRAFT_121743	Belongs to the mitochondrial carrier (TC 2.A.29) family(SFC1)		
TRIREDRAFT_121746	Pectate lyase superfamily protein		3.2.1.58
TRIREDRAFT_121750			
TRIREDRAFT_121754	Sec63 Brl domain(SEC63)		
TRIREDRAFT_121757	C2H2-type zinc finger		
TRIREDRAFT_121764	Major Facilitator Superfamily		
TRIREDRAFT_121766	Hyaluronan / mRNA binding family		
TRIREDRAFT_121773	Whi5 like		
TRIREDRAFT_121774			
TRIREDRAFT_121777	Protein of unknown function (DUF2457)		
TRIREDRAFT_121785			
TRIREDRAFT_121786	NRDE-2, necessary for RNA interference		
TRIREDRAFT_121789	Triosephosphate isomerase(TPI1)		5.3.1.1
TRIREDRAFT_121793			
TRIREDRAFT_121794	Fungal specific transcription factor domain		
TRIREDRAFT_121800	prohibitin homologues		
TRIREDRAFT_121801	NOSIC (NUC001) domain(NOP58)		
TRIREDRAFT_121804	Ribosomal_S15		
TRIREDRAFT_121814	Aminotransferase class-V		2.6.1.44,2.6.1.45,2.6.1.51
TRIREDRAFT_121818			
TRIREDRAFT_121820	Cobalamin-independent synthase, N-terminal domain(MET6)		2.1.1.14
TRIREDRAFT_121824	Citrate synthase, C-terminal domain(acl1)		2.3.3.8
TRIREDRAFT_121826	ATP citrate lyase citrate-binding(acl2)		2.3.3.8
TRIREDRAFT_121834	Belongs to the mitochondrial carrier (TC 2.A.29) family(PET9)		
TRIREDRAFT_121837	Belongs to the universal ribosomal protein uS7 family(RPS5)		
TRIREDRAFT_121839	Belongs to the heat shock protein 70 family		
TRIREDRAFT_121843	-domain-containing protein		
TRIREDRAFT_121850	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family(HGT3)		
TRIREDRAFT_121856	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily(TCRP)		1.13.11.27
TRIREDRAFT_121864	Protein of unknown function (DUF2722)		
TRIREDRAFT_121868	Phosphoglycerate mutase family		
TRIREDRAFT_121870	Arrestin_N terminal like(LDB19)		
TRIREDRAFT_121875	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
TRIREDRAFT_121877	Epoxide hydrolase N terminus		
TRIREDRAFT_121878	Ribosomal protein S19e(RPS19A)		
TRIREDRAFT_121883			
TRIREDRAFT_121889	Forkhead associated domain		
TRIREDRAFT_121890	Belongs to the peptidase M16 family(MAS2)		3.4.24.64
TRIREDRAFT_121894	Fungal specific transcription factor domain		
TRIREDRAFT_121901	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation(NIP1)		
TRIREDRAFT_121903	Iron-sulphur cluster biosynthesis(ISA2)		
TRIREDRAFT_121904	Ribosomal L30 N-terminal domain(RPL7)		
TRIREDRAFT_121906	Belongs to the universal ribosomal protein uS11 family(RPS14B)		
TRIREDRAFT_121915	Translationally controlled tumour protein		
TRIREDRAFT_121920	Belongs to the ALG6 ALG8 glucosyltransferase family(ALG8)		2.4.1.265
TRIREDRAFT_121940	WD domain, G-beta repeat(TUP1)		
TRIREDRAFT_121942	Transmembrane amino acid transporter protein		
TRIREDRAFT_121944	Kinase-like(TPK2)		
TRIREDRAFT_121948	Microsomal signal peptidase 12 kDa subunit (SPC12)		
TRIREDRAFT_121950	Anaphase-promoting complex subunit 11 RING-H2 finger(HRT1)		2.3.2.32
TRIREDRAFT_121955	EMG1/NEP1 methyltransferase(NEP1)		2.1.1.260
TRIREDRAFT_121960			
TRIREDRAFT_121962	PAS fold		
TRIREDRAFT_121966	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network		
TRIREDRAFT_121968	TAP-like protein		
TRIREDRAFT_121975	Epsin N-terminal homology (ENTH) domain(ENT3)		
TRIREDRAFT_121977	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides		5.2.1.8
TRIREDRAFT_121981	Prokaryotic homologs of the JAB domain(RPN11)		
TRIREDRAFT_121986	Major Facilitator Superfamily		
TRIREDRAFT_121989	Cupin		
TRIREDRAFT_121990			
TRIREDRAFT_121993			
TRIREDRAFT_122001	Belongs to the universal ribosomal protein uL14 family(RPL23A)		
TRIREDRAFT_122007			
TRIREDRAFT_122010	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family		1.1.1.29
TRIREDRAFT_122013	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		
TRIREDRAFT_122015	Protein kinase C terminal domain(YPK2)		2.7.11.1
TRIREDRAFT_122023			
TRIREDRAFT_122031	Methyltransferase domain-containing protein		
TRIREDRAFT_122036	Belongs to the universal ribosomal protein uS5 family(RPS2)		
TRIREDRAFT_122040	Ribosomal_L31e(RPL31B)		
TRIREDRAFT_122043	Heavy-metal-associated domain(CCC2)		3.6.3.54
TRIREDRAFT_122047			
TRIREDRAFT_122048	Necessary for protein translocation in the endoplasmic reticulum(SBH1)		
TRIREDRAFT_122050	catalytic domain of ctd-like phosphatases		3.1.3.16
TRIREDRAFT_122064	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family(MYO1)		
TRIREDRAFT_122065	RPEL repeat		
TRIREDRAFT_122067			
TRIREDRAFT_122069	Broad-Complex, Tramtrack and Bric a brac		
TRIREDRAFT_122070	Anaphase-promoting complex subunit 4 WD40 domain		
TRIREDRAFT_122071	Cornichon protein(ERV14)		
TRIREDRAFT_122074	Catalyzes the hydroxylation of L-kynurenine (L-Kyn) to form 3-hydroxy-L-kynurenine (L-3OHKyn). Required for synthesis of quinolinic acid(BNA4)		1.14.13.9
TRIREDRAFT_122075			
TRIREDRAFT_122076	Belongs to the peptidase A1 family		
TRIREDRAFT_122079	Enoyl-(Acyl carrier protein) reductase		
TRIREDRAFT_122081	Belongs to the glycosyl hydrolase 7 (cellulase C) family		3.2.1.4
TRIREDRAFT_122083	Belongs to the peptidase M28 family		3.4.11.10
TRIREDRAFT_122084			
TRIREDRAFT_122087			
TRIREDRAFT_122089	NAD(P)H-binding		
TRIREDRAFT_122091	Domain of unknown function (DUF3336)(TGL5)		2.3.1.51,3.1.1.13,3.1.1.3,3.1.1.4
TRIREDRAFT_122095	Membrane-associating domain		
TRIREDRAFT_122096			
TRIREDRAFT_122102	Maleylacetate reductase		
TRIREDRAFT_122103	pantetheine-phosphate adenylyltransferase family protein		2.7.7.3
TRIREDRAFT_122104	Permease family		
TRIREDRAFT_122108	4-coumarate coenzyme A ligase		
TRIREDRAFT_122110	AMP-binding enzyme C-terminal domain		
TRIREDRAFT_122113	Fungal protein of unknown function (DUF1748)		
TRIREDRAFT_122124	ATPase family associated with various cellular activities (AAA)		
TRIREDRAFT_122127	cell wall protein		
TRIREDRAFT_122131	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)		2.1.1.77
TRIREDRAFT_122134			
TRIREDRAFT_122139	zinc finger		
TRIREDRAFT_122140			
TRIREDRAFT_122141	Belongs to the universal ribosomal protein uL15 family(RPL28)		3.6.4.13
TRIREDRAFT_122144	Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases(cnd1)		
TRIREDRAFT_122146			
TRIREDRAFT_122147			
TRIREDRAFT_122153	Major Facilitator Superfamily		
TRIREDRAFT_122160	DnaJ molecular chaperone homology domain		
TRIREDRAFT_122166	Belongs to the cytochrome P450 family(ERG5)		1.14.19.41
TRIREDRAFT_122168	Peptidase inhibitor I9		
TRIREDRAFT_122169	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase		
TRIREDRAFT_122172	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family		2.4.1.16
TRIREDRAFT_122175	Ribosome 60S biogenesis N-terminal		
TRIREDRAFT_122176			
TRIREDRAFT_122178			
TRIREDRAFT_122180	RING-like zinc finger		2.3.2.27
TRIREDRAFT_122187			
TRIREDRAFT_122193	Protein kinase domain(VPS15)		2.7.11.1
TRIREDRAFT_122197			
TRIREDRAFT_122198			
TRIREDRAFT_122199	Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family(CDC3)		
TRIREDRAFT_122208	Fungal specific transcription factor domain(xlnR)		
TRIREDRAFT_122210	S4 RNA-binding domain		
TRIREDRAFT_122212	BRO1-like domain(BRO1)		
TRIREDRAFT_122220	Heterokaryon incompatibility protein (HET)		
TRIREDRAFT_122226	Carbamoyl-phosphate synthase small chain, CPSase domain(CPA1)		6.3.5.5
TRIREDRAFT_122230	Pfam:RRM_6		
TRIREDRAFT_122233	Isocitrate/isopropylmalate dehydrogenase(LEU2)		1.1.1.85
TRIREDRAFT_122240	Belongs to the carnitine choline acetyltransferase family(YAT1)		2.3.1.7
TRIREDRAFT_122242			
TRIREDRAFT_122255	Bromodomain		
TRIREDRAFT_122262			
TRIREDRAFT_122271			
TRIREDRAFT_122275	Ferredoxin-fold anticodon binding domain(MSF1)		6.1.1.20
TRIREDRAFT_122278	Sof1-like domain(sof1)		
TRIREDRAFT_122283			
TRIREDRAFT_122284	Component of the velvet transcription factor complex that controls sexual asexual developmental ratio in response to light, promoting sexual development in the darkness while stimulating asexual sporulation under illumination(VEL1)		
TRIREDRAFT_122287	GXGXG motif(GLT1)		1.4.1.13,1.4.1.14
TRIREDRAFT_122293	Domain of unknown function (DUF3425)		
TRIREDRAFT_122296	Belongs to the citrate synthase family(CIT1)		2.3.3.1
TRIREDRAFT_122299	Domain with 2 conserved Trp (W) residues(WWM1)		
TRIREDRAFT_122301	DegT/DnrJ/EryC1/StrS aminotransferase family(MET15)		2.5.1.47,2.5.1.49
TRIREDRAFT_122304	Belongs to the CTL (choline transporter-like) family		
TRIREDRAFT_122314	Uncharacterized conserved protein (DUF2293)		
TRIREDRAFT_122324	Membrane-associating domain		
TRIREDRAFT_122349	Spt20 family		
TRIREDRAFT_122350	Belongs to the group II decarboxylase family		4.1.1.15
TRIREDRAFT_122363	Belongs to the small heat shock protein (HSP20) family		
TRIREDRAFT_122366	ML-like domain		
TRIREDRAFT_122371	helix loop helix domain		
TRIREDRAFT_122374			
TRIREDRAFT_122375			
TRIREDRAFT_122376			
TRIREDRAFT_122378	Belongs to the RNR ribonuclease family(DIS3)		
TRIREDRAFT_122381	Cyclin(CLG1)		
TRIREDRAFT_122384	Mago binding		
TRIREDRAFT_122385	SIS domain(GFA1)		2.6.1.16
TRIREDRAFT_122387	high mobility group		
TRIREDRAFT_122392	Rad17 cell cycle checkpoint protein(RFC2)		
TRIREDRAFT_122396	NPL4 family, putative zinc binding region(NPL4)		
TRIREDRAFT_122405	Belongs to the peptidase C19 family(creB)		3.4.19.12
TRIREDRAFT_122410	Exocyst complex component Sec10(SEC10)		
TRIREDRAFT_122415	Calsequestrin(PDI1)		5.3.4.1
TRIREDRAFT_122416	NADH:flavin oxidoreductase / NADH oxidase family(OYE32)		1.3.1.42
TRIREDRAFT_122419	Inositol polyphosphate phosphatase, catalytic domain homologues(syj1)		3.1.3.36
TRIREDRAFT_122422			
TRIREDRAFT_122428	Set domain-containing protein		
TRIREDRAFT_122431	Pex19 protein family(PEX19)		
TRIREDRAFT_122447	Rad52/22 family double-strand break repair protein(RAD52)		
TRIREDRAFT_122448	zinc finger		
TRIREDRAFT_122455	GPI anchored protein		
TRIREDRAFT_122457	Helix-turn-helix XRE-family like proteins(MBF1)		
TRIREDRAFT_122468	Pyridoxal-dependent decarboxylase conserved domain		
TRIREDRAFT_122476	Involved in cytoplasm to vacuole transport (Cvt) and autophagic vesicle formation(atg5)		
TRIREDRAFT_122480	Protein kinase C conserved region 2 (CalB)		
TRIREDRAFT_122487	Dnase1 protein		
TRIREDRAFT_122495	Glycoside hydrolase family 76		3.2.1.101
TRIREDRAFT_122497	Bacteriocin-protection, YdeI or OmpD-Associated		
TRIREDRAFT_122499	CYTH domain		3.6.1.28
TRIREDRAFT_122500	MYND finger		
TRIREDRAFT_122501	Alpha-acetolactate decarboxylase		
TRIREDRAFT_122505	Aldo/keto reductase family		
TRIREDRAFT_122506			
TRIREDRAFT_122511	Glycosyl hydrolases family 16		
TRIREDRAFT_122523	Transcription factor(FCR1)		
TRIREDRAFT_122526			
TRIREDRAFT_122527	Pfam:DUF718		
TRIREDRAFT_122529	S1/P1 Nuclease		
TRIREDRAFT_122531	Semialdehyde dehydrogenase, NAD binding domain(HOM2)		1.2.1.11
TRIREDRAFT_122533	Belongs to the aldehyde dehydrogenase family(MSC7)		
TRIREDRAFT_122541	C2H2-type zinc finger(MET32)		
TRIREDRAFT_122546	Component of the ESCRT-0 complex which is the sorting receptor for ubiquitinated cargo proteins at the multivesicular body (MVB) and recruits ESCRT-I to the MVB outer membrane(VPS27)		
TRIREDRAFT_122551	MobA-like NTP transferase domain(MPG1)		2.7.7.13
TRIREDRAFT_122552	Dynein light chain type 1(DYN2)		
TRIREDRAFT_122556	Enoyl-(Acyl carrier protein) reductase		
TRIREDRAFT_122565	Pyridoxal-phosphate dependent enzyme(cys12)		2.5.1.47
TRIREDRAFT_122567			
TRIREDRAFT_122569			
TRIREDRAFT_122571	Protein of unknown function (DUF726)		
TRIREDRAFT_122572	Belongs to the heat shock protein 70 family(SSB1)		
TRIREDRAFT_122576	SprT-like family		
TRIREDRAFT_122579			
TRIREDRAFT_122582	Dihydrodipicolinate synthetase family		4.1.3.16
TRIREDRAFT_122584	RNA cytidine acetyltransferase with specificity toward both 18S rRNA and tRNAs. Catalyzes the formation of N(4)- acetylcytidine (ac4C) in 18S rRNA. Required for early nucleolar cleavages of precursor rRNA at sites A0, A1 and A2 during 18S rRNA synthesis. Catalyzes the formation of ac4C in serine and leucine tRNAs. Requires the tRNA-binding adapter protein TAN1 for full tRNA acetyltransferase activity but not for 18S rRNA acetylation(NAT10)		3.1.1.29
TRIREDRAFT_122587	Belongs to the universal ribosomal protein uS17 family(RPS11B)		
TRIREDRAFT_122590			
TRIREDRAFT_122592	SacI homology domain(SAC1)		
TRIREDRAFT_122593	Rab subfamily of small GTPases(YPT52)		
TRIREDRAFT_122614			
TRIREDRAFT_122628	bromo domain		
TRIREDRAFT_122629			
TRIREDRAFT_122630			
TRIREDRAFT_122641	Nicotinate phosphoribosyltransferase (NAPRTase) family(NPT1)		6.3.4.21
TRIREDRAFT_122644	Belongs to the CDP-alcohol phosphatidyltransferase class-I family		2.7.8.1
TRIREDRAFT_122646	Serine aminopeptidase, S33		
TRIREDRAFT_122653	Squalene/phytoene synthase(ERG9)		2.5.1.21
TRIREDRAFT_122656			
TRIREDRAFT_122657	Cytochrome b5-like Heme/Steroid binding domain		1.6.2.2
TRIREDRAFT_122659	WD40 repeats(UTP4)		
TRIREDRAFT_122662			
TRIREDRAFT_122666			
TRIREDRAFT_122679	Hypoxia induced protein conserved region(RCF2)		
TRIREDRAFT_122680	zinc finger(SFP1)		
TRIREDRAFT_122684	Transcription factor IIA, alpha/beta subunit(TOA1)		
TRIREDRAFT_122689	WD domain, G-beta repeat(WDR6)		
TRIREDRAFT_122692			
TRIREDRAFT_122696	Pleckstrin homology domain		
TRIREDRAFT_122697	Belongs to the bacterial ribosomal protein bL36 family		
TRIREDRAFT_122701	Actin(ARP4)		
TRIREDRAFT_122703	Belongs to the peptidase M16 family(MAS1)		3.4.24.64
TRIREDRAFT_122708	Pfam:DUF2450(VPS53)		
TRIREDRAFT_122717	Polyubiquitin(UBI4)		
TRIREDRAFT_122724			
TRIREDRAFT_122730	Steryl acetyl hydrolase		
TRIREDRAFT_122734			
TRIREDRAFT_122735	Serine/Threonine protein kinases, catalytic domain(PKC1)		2.7.11.1
TRIREDRAFT_122736	Fructose-bisphosphate aldolase class-II		4.1.2.13
TRIREDRAFT_122743	F-actin-capping proteins bind in a Ca(2 )-independent manner to the fast growing ends of actin filaments (barbed end) thereby blocking the exchange of subunits at these ends. Unlike other capping proteins (such as gelsolin and severin), these proteins do not sever actin filaments(CAP1)		
TRIREDRAFT_122745	Transketolase, pyrimidine binding domain		1.2.4.4
TRIREDRAFT_122756			
TRIREDRAFT_122767	Copper-Fist		
TRIREDRAFT_122774	Nitronate monooxygenase		
TRIREDRAFT_122778	Aldo/keto reductase family		
TRIREDRAFT_122780	Belongs to the glycosyl hydrolase 28 family		
TRIREDRAFT_122783	Fungal specific transcription factor domain		
TRIREDRAFT_122792			
TRIREDRAFT_122794	NMT1/THI5 like		
TRIREDRAFT_122795	integral membrane protein		
TRIREDRAFT_122811	Belongs to the glutamine synthetase family(GLN1)		6.3.1.2
TRIREDRAFT_122813			
TRIREDRAFT_122817			
TRIREDRAFT_122819	GINS complex protein		
TRIREDRAFT_122820	Aminotransferase class I and II(BNA3)		2.6.1.7
TRIREDRAFT_122823			
TRIREDRAFT_122824			
TRIREDRAFT_122825	Terpene synthase family, metal binding domain		
TRIREDRAFT_122828	Chloramphenicol phosphotransferase-like protein(NRK1)		2.7.1.173,2.7.1.22
TRIREDRAFT_122833			
TRIREDRAFT_122838	Activator of mitotic machinery Cdc14 phosphatase activation C-term		
TRIREDRAFT_122841	Exocyst complex component SEC3 N-terminal PIP2 binding PH		
TRIREDRAFT_122846	Helicase associated domain (HA2)  Add an annotation		3.6.4.13
TRIREDRAFT_122855	Nbl1 / Borealin N terminal		
TRIREDRAFT_122856	Methyltransferase domain		
TRIREDRAFT_122857	prohibitin homologues(PHB2)		
TRIREDRAFT_122860	haloacid dehalogenase-like hydrolase		
TRIREDRAFT_122864	Pfam:RRM_6		
TRIREDRAFT_122868	Homoserine dehydrogenase(HOM6)		1.1.1.3
TRIREDRAFT_122870			
TRIREDRAFT_122872	Belongs to the ubiquitin-conjugating enzyme family(MMS2)		
TRIREDRAFT_122874			
TRIREDRAFT_122879	helix loop helix domain		
TRIREDRAFT_122882	Activator of Hsp90 ATPase, N-terminal(AHA1)		
TRIREDRAFT_122886	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain(TUB2)		
TRIREDRAFT_122889	response to estrogen		
TRIREDRAFT_122897	Spindle pole body-associated protein sad1		
TRIREDRAFT_122898	Serine threonine-protein kinase sgk2		
TRIREDRAFT_122900	Mitochondrial small ribosomal subunit Rsm22(RSM22)		
TRIREDRAFT_122903	Protein of Unknown function (DUF1690)		
TRIREDRAFT_122909	Chromatin organization modifier domain(NEW1)		
TRIREDRAFT_122914	Protein of unknown function (DUF3295)		
TRIREDRAFT_122920	Belongs to the heat shock protein 70 family(KAR2)		
TRIREDRAFT_122929	Saccharomyces cerevisiae YPR170W-B		
TRIREDRAFT_122931	Histidine kinase group protein		
TRIREDRAFT_122941	CFEM domain		
TRIREDRAFT_122943	Domain with 2 conserved Trp (W) residues		
TRIREDRAFT_122948	Belongs to the multicopper oxidase family		
TRIREDRAFT_122952			
TRIREDRAFT_122956	Ribosomal protein S27(rps27)		
TRIREDRAFT_122960	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln)(HER2)		6.3.5.6,6.3.5.7
TRIREDRAFT_122963	Copper amine oxidase, enzyme domain		1.4.3.21
TRIREDRAFT_122971	adenosylhomocysteine nucleosidase activity		
TRIREDRAFT_122972	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family		3.6.3.7
TRIREDRAFT_122974	Fungal specific transcription factor domain		
TRIREDRAFT_122975	structural constituent of cuticle		
TRIREDRAFT_122987	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)(PDA1)		1.2.4.1
TRIREDRAFT_122988	ABC transporter transmembrane region(YCF1)		
TRIREDRAFT_122992	glycosyltransferase family 31		
TRIREDRAFT_122993	Glycosyl transferase family 21		2.4.1.212
TRIREDRAFT_122994	Insulin-induced protein (INSIG)		
TRIREDRAFT_122995	Beta-lactamase		
TRIREDRAFT_122998	Phosphatidylethanolamine-binding protein		
TRIREDRAFT_123008	Emopamil binding protein		5.3.3.5
TRIREDRAFT_123009			
TRIREDRAFT_123013	Belongs to the PI3 PI4-kinase family(PIK1)		2.7.1.67
TRIREDRAFT_123014	pre-mrna-splicing factor 38b		
TRIREDRAFT_123015	Rab subfamily of small GTPases(VPS21)		
TRIREDRAFT_123019			
TRIREDRAFT_123026	Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway(TAL1)		2.2.1.2
TRIREDRAFT_123029	Destroys radicals which are normally produced within the cells and which are toxic to biological systems(SOD1)		1.15.1.1
TRIREDRAFT_123030	Pleckstrin homology domain(TUS1)		
TRIREDRAFT_123039	CFEM domain		
TRIREDRAFT_123047	Mid2 like cell wall stress sensor		
TRIREDRAFT_123056	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold		
TRIREDRAFT_123066	Pal1 cell morphology protein		
TRIREDRAFT_123071	Produces ATP from ADP in the presence of a proton gradient across the membrane(ATP2)		2.4.1.18,3.6.3.14
TRIREDRAFT_123079	Peroxidase, family 2		
TRIREDRAFT_123084	Enoyl-(Acyl carrier protein) reductase		
TRIREDRAFT_123086			
TRIREDRAFT_123090	Protein of unknown function DUF89(HRT2)		
TRIREDRAFT_123095			
TRIREDRAFT_123111	Vps5 C terminal like(vps5)		
TRIREDRAFT_123113	ribosomal protein		
TRIREDRAFT_123114	Hsp90 protein(HSP82)		
TRIREDRAFT_123118	DnaJ molecular chaperone homology domain		
TRIREDRAFT_123120	Major Facilitator Superfamily		
TRIREDRAFT_123124	Protein tyrosine kinase		2.1.1.205
TRIREDRAFT_123125	Clr5 domain		
TRIREDRAFT_123126	domain) protein		
TRIREDRAFT_123130	lipoprotein transporter activity		
TRIREDRAFT_123131	Endonuclease/Exonuclease/phosphatase family		
TRIREDRAFT_123134			
TRIREDRAFT_123144	F-box domain-containing protein		
TRIREDRAFT_123145	Belongs to the universal ribosomal protein uL22 family(RPL17B)		
TRIREDRAFT_123149	Nitroreductase family(FRM2)		
TRIREDRAFT_123152	Dimerisation domain of Zinc Transporter		
TRIREDRAFT_123155	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles(clc1)		
TRIREDRAFT_123158	Helical region found in SNAREs(tlg2)		
TRIREDRAFT_123163	Adaptin C-terminal domain(APL4)		
TRIREDRAFT_123164	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane(srp72)		
TRIREDRAFT_123173	Glycosyl transferase family 41		
TRIREDRAFT_123174	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family(SER33)		1.1.1.399,1.1.1.95
TRIREDRAFT_123176	Belongs to the universal ribosomal protein uL11 family		
TRIREDRAFT_123179	GTP cyclohydrolase N terminal		
TRIREDRAFT_123180	Seryl-tRNA synthetase N-terminal domain(SES1)		6.1.1.11
TRIREDRAFT_123183	P5-type ATPase cation transporter		
TRIREDRAFT_123185	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family(MYO2)		
TRIREDRAFT_123186			
TRIREDRAFT_123188			
TRIREDRAFT_123191			
TRIREDRAFT_123196	F-box-like		
TRIREDRAFT_123198	Iron-sulfur protein (IP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)(SDH2)		1.3.5.1
TRIREDRAFT_123199			
TRIREDRAFT_123202	Belongs to the eukaryotic ribosomal protein P1 P2 family(RPP2B)		
TRIREDRAFT_123204	Thioesterase domain		
TRIREDRAFT_123205			
TRIREDRAFT_123207			
TRIREDRAFT_123213	Mucin family signaling protein(MSB2)		
TRIREDRAFT_123220	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates(RPA135)		2.7.7.6
TRIREDRAFT_123223	Beta-eliminating lyase		4.1.2.48
TRIREDRAFT_123226	Trehalase		3.2.1.28
TRIREDRAFT_123227			
TRIREDRAFT_123228	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles(CHC1)		
TRIREDRAFT_123232	Belongs to the glycosyl hydrolase 12 (cellulase H) family		3.2.1.151
TRIREDRAFT_123234	Belongs to the peptidase S8 family		
TRIREDRAFT_123236			
TRIREDRAFT_123238	Epoxide hydrolase N terminus		3.3.2.9
TRIREDRAFT_123241	Belongs to the MIP aquaporin (TC 1.A.8) family		
TRIREDRAFT_123244	Belongs to the peptidase S8 family(PRB1)		3.4.21.48
TRIREDRAFT_123251	Globin		1.14.12.17
TRIREDRAFT_123255	ser Thr protein phosphatase		
TRIREDRAFT_123256	amine dehydrogenase activity		
TRIREDRAFT_123258	Belongs to the small GTPase superfamily. Rho family(RHO3)		
TRIREDRAFT_123260			
TRIREDRAFT_123261	YCII-related domain		
TRIREDRAFT_123262	Isochorismatase family		
TRIREDRAFT_123265	Enoyl-(Acyl carrier protein) reductase		
TRIREDRAFT_123274	Belongs to the aldehyde dehydrogenase family		1.2.1.3,1.2.1.5
TRIREDRAFT_123278	Heterokaryon incompatibility protein (HET)		
TRIREDRAFT_123279	Sulfatase		
TRIREDRAFT_123282			
TRIREDRAFT_123283	Alpha-L-arabinofuranosidase B (ABFB) domain(abfB)		3.2.1.55
TRIREDRAFT_123288	FGGY family of carbohydrate kinases, C-terminal domain(xkiA)		2.7.1.17
